ts,switch_dpid,port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_frame_err,rx_over_err,rx_crc_err,collisions,duration_sec,duration_nsec
Sat Oct 11 19:53:56 2025,1,1,336,303,833272,22262,0,0,0,0,0,0,0,0,30,590000000
Sat Oct 11 19:53:56 2025,1,2,308,335,22644,823070,0,0,0,0,0,0,0,0,30,590000000
Sat Oct 11 19:53:56 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,30,583000000
Sat Oct 11 19:53:56 2025,2,1,312,331,22920,812670,0,0,0,0,0,0,0,0,30,587000000
Sat Oct 11 19:53:56 2025,2,2,335,308,823070,22644,0,0,0,0,0,0,0,0,30,587000000
Sat Oct 11 19:53:57 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,31,596000000
Sat Oct 11 19:53:57 2025,1,1,336,303,833272,22262,0,0,0,0,0,0,0,0,31,600000000
Sat Oct 11 19:53:57 2025,1,2,308,335,22644,823070,0,0,0,0,0,0,0,0,31,600000000
Sat Oct 11 19:53:57 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,31,602000000
Sat Oct 11 19:53:57 2025,2,1,312,331,22920,812670,0,0,0,0,0,0,0,0,31,606000000
Sat Oct 11 19:53:57 2025,2,2,335,308,823070,22644,0,0,0,0,0,0,0,0,31,606000000
Sat Oct 11 19:53:58 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,32,600000000
Sat Oct 11 19:53:58 2025,1,1,336,303,833272,22262,0,0,0,0,0,0,0,0,32,604000000
Sat Oct 11 19:53:58 2025,1,2,308,335,22644,823070,0,0,0,0,0,0,0,0,32,604000000
Sat Oct 11 19:53:58 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,32,595000000
Sat Oct 11 19:53:58 2025,2,1,312,331,22920,812670,0,0,0,0,0,0,0,0,32,599000000
Sat Oct 11 19:53:58 2025,2,2,335,308,823070,22644,0,0,0,0,0,0,0,0,32,599000000
Sat Oct 11 19:53:59 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,33,586000000
Sat Oct 11 19:53:59 2025,1,1,337,303,833370,22262,0,0,0,0,0,0,0,0,33,590000000
Sat Oct 11 19:53:59 2025,1,2,308,336,22644,823168,0,0,0,0,0,0,0,0,33,590000000
Sat Oct 11 19:53:59 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,33,587000000
Sat Oct 11 19:53:59 2025,2,1,312,331,22920,812670,0,0,0,0,0,0,0,0,33,591000000
Sat Oct 11 19:53:59 2025,2,2,336,308,823168,22644,0,0,0,0,0,0,0,0,33,591000000
Sat Oct 11 19:54:00 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,34,583000000
Sat Oct 11 19:54:00 2025,1,1,337,303,833370,22262,0,0,0,0,0,0,0,0,34,587000000
Sat Oct 11 19:54:00 2025,1,2,308,336,22644,823168,0,0,0,0,0,0,0,0,34,587000000
Sat Oct 11 19:54:00 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,34,580000000
Sat Oct 11 19:54:00 2025,2,1,312,331,22920,812670,0,0,0,0,0,0,0,0,34,584000000
Sat Oct 11 19:54:00 2025,2,2,336,308,823168,22644,0,0,0,0,0,0,0,0,34,584000000
Sat Oct 11 19:54:01 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,35,593000000
Sat Oct 11 19:54:01 2025,1,1,337,303,833370,22262,0,0,0,0,0,0,0,0,35,597000000
Sat Oct 11 19:54:01 2025,1,2,308,336,22644,823168,0,0,0,0,0,0,0,0,35,597000000
Sat Oct 11 19:54:01 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,35,589000000
Sat Oct 11 19:54:01 2025,2,1,312,331,22920,812670,0,0,0,0,0,0,0,0,35,593000000
Sat Oct 11 19:54:01 2025,2,2,336,308,823168,22644,0,0,0,0,0,0,0,0,35,593000000
Sat Oct 11 19:54:02 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,36,591000000
Sat Oct 11 19:54:02 2025,1,1,337,303,833370,22262,0,0,0,0,0,0,0,0,36,595000000
Sat Oct 11 19:54:02 2025,1,2,308,336,22644,823168,0,0,0,0,0,0,0,0,36,595000000
Sat Oct 11 19:54:02 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,36,587000000
Sat Oct 11 19:54:02 2025,2,1,312,331,22920,812670,0,0,0,0,0,0,0,0,36,591000000
Sat Oct 11 19:54:02 2025,2,2,336,308,823168,22644,0,0,0,0,0,0,0,0,36,591000000
Sat Oct 11 19:54:03 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,37,582000000
Sat Oct 11 19:54:03 2025,1,1,337,303,833370,22262,0,0,0,0,0,0,0,0,37,586000000
Sat Oct 11 19:54:03 2025,1,2,308,336,22644,823168,0,0,0,0,0,0,0,0,37,586000000
